roster,sport,iteration,score_before,score_after,player_out,player_in,improvement,cumulative_improvement
Canada 2025,Hockey,0,0.4201,0.4287,Foegele,Parayko,0.0086,0.0086
Canada 2025,Hockey,1,0.4287,0.4312,Walker,Doughty,0.0025,0.0111
Canada 2025,Hockey,2,0.4312,0.4368,Smith,Stone,0.0056,0.0167
Canada 2025,Hockey,3,0.4368,0.4421,Crouse,Henrique,0.0053,0.0220
Canada 2025,Hockey,4,0.4421,0.4449,Ferraro,Bowman,0.0028,0.0248
Canada 2025,Hockey,5,0.4449,0.4495,Bowman,Makar,0.0046,0.0294
USA 2024,Basketball,0,0.6842,0.6951,Embiid,Green,0.0109,0.0109
USA 2024,Basketball,1,0.6951,0.7048,Lillard,Mitchell,0.0097,0.0206
USA 2024,Basketball,2,0.7048,0.7139,Edwards,Brown,0.0091,0.0297
USA 2024,Basketball,3,0.7139,0.7195,Murray,Holiday,0.0056,0.0353
USA 2024,Basketball,4,0.7195,0.7251,Booker,Haliburton,0.0056,0.0409
Canada 2024,Basketball,0,0.5987,0.6104,Sharpe,RJ Barrett,0.0117,0.0117
Canada 2024,Basketball,1,0.6104,0.6218,Wigginton,NAW,0.0114,0.0231
Canada 2024,Basketball,2,0.6218,0.6312,Lyles,Joseph,0.0094,0.0325
Canada 2024,Basketball,3,0.6312,0.6381,Kabengele,Dort,0.0069,0.0394
Canada 2024,Basketball,4,0.6381,0.6425,Banton,Edey,0.0044,0.0438
